name,gt,pgs_combo,pgs_surg2,pgs_only,fold
0041dfb1bf2f4909a6c1eb8ef8fc1e89,3,4,4,4,1
01d4a4ee50244f0bad3c0303d19d6368,2,3,2,2,1
022231f437ca492abdc9cf36b0e37909,2,2,3,2,1
03924486792a4962875aea8cae394940,4,5,4,3,1
03f874d0b6e847ab8aed4d2e9f1ab491,2,5,3,2,1
0409d88af3174509a56ddbe2e5921d1b,3,1,3,1,1
071715c769de43e590e1fd028c29dc77,5,4,5,4,1
076f7426605e4ab39f71072a2b09cd25,4,1,2,1,1
084fc6ab00eb42d7aa29b886f3e4c431,4,4,5,5,1
0aaf1034152d462fb6673c2d6d92c538,3,4,3,3,1
0c3b1b9ce7694ae8924db5c4686ecae1,2,1,2,1,1
0c5287add9884ffa81d127e8bdcbd53f,4,4,5,4,1
0cd4dc00f60a4f82a096cbeec1b795eb,1,1,1,1,1
0dd08060f18e45ca8400117aa644c3a1,5,5,5,4,1
0fec973f95d74918951128a05d1ac005,1,3,1,1,1
11af5bafc144439e959e56bb85f6bba9,4,4,4,4,2
148d79ec91f142bcaeb668de7a43f5fb,2,2,4,2,1
17a0292a49314f1d8f2dd66c02fcc319,2,4,3,3,2
184ed9f46fbb4b159a9c23585d8de915,1,1,1,1,1
18a428a69db448259572039e4c0b5853,4,4,4,5,2
1971efbe2e684e13ba042bc6ed76b4f1,3,3,3,2,1
1a3aabf8888646c8a0a7d96e31959323,3,4,3,3,1
1a536ce4d1514e68b454529908b2e0c9,2,1,2,2,2
1ad1c9dc153c4f018a907cf026bb4f38,1,1,1,1,1
1b7257e7f6bb4c2e96eb5c0e783f2983,3,3,3,3,2
1cd76ca09ddb4204a783bd245a6cc604,4,3,4,1,2
1fbe7a1c2a464bdcae7cfd09f9907137,1,1,1,1,1
2139ad0f16294a01850d291480183630,1,1,1,1,1
225cf1bf3a334505ae0dad5e27fc791e,1,1,2,2,2
23823c8cb3d248dbb1e0660ac006dd25,3,4,2,2,2
23c1a2a108ca49d2b7e88e6808ba3283,4,4,4,5,2
25c32fc5bdb044e49c6af8ab85393823,1,3,2,1,2
25c9740d3d444f14be2e5dfc33efc1e0,1,1,1,1,2
25d452d226e04821a4eb3ed1c605850f,2,2,2,2,2
2675e2cb3f774fecb43037152e22839f,3,1,1,1,2
271401a1821f46ce989541d4da92c568,1,1,1,1,2
284ec32e6b2c457eb7f00e9517f8f3d5,1,1,1,1,2
29cbb8bcd02e495fb3b8be22f04da85e,2,2,2,2,2
2a0acbc100a94a9c94594ea16966af6b,2,3,3,4,2
2a98f4b32b0f4c91b3f3fca0b1606519,2,2,2,2,3
2c04c9cc5ca240e6bd39b14632ed622a,1,1,2,1,2
2ce465fc857843e199103e0898107ee4,3,3,3,3,2
2d3be687240d4853bb4a3ab7fbcc8d9c,4,4,4,4,3
2d8152fb67d74166834e96d095225058,3,1,1,3,2
3012e3a3139c4e3da385d29420284f6b,3,2,3,2,3
305e28622b6e4057b972fbed660f7856,1,1,1,1,3
333a69650e064526b826b99104b988a0,4,3,4,3,3
341cb738ec334a0689b32225304a132a,1,1,2,1,3
36957bbfdb434ceeb99eb1e493a87479,3,3,3,5,3
371ceda6011848e2b10d4ddf16d72048,1,1,3,1,3
37fcf3da26da4f02a45d939a17c5afc2,4,4,5,4,3
390434b09dbc45d0a3b8ac7dc9917746,3,4,4,5,3
3a645aa2f86241eeb0f529b2e1c8f4dc,1,1,1,1,3
3cc65e5ee9444409a82627d8a61caf2c,1,1,1,1,3
3e037e487d3743978a62bf6926005e84,3,1,2,1,3
406b927bcd8c4dc9a15d3f3f036145cd,4,2,4,2,3
42bf6085c84f428cb03c93b187d68eb8,3,4,3,4,3
43d817d9b2624e2d8223097ee7937023,3,4,4,2,4
447441e63f7f4fae962b1157f4f8a968,1,1,1,1,3
44916540e8514bb3ac5fb99d9ecae4e2,4,4,3,1,4
45444da53a1a4e819e282cda6f2c2faf,2,1,3,2,3
456927afdff14dd1a64930c65ecb1c46,4,3,4,4,4
461a4cc3851c4fb8b5f931222cb1dbcd,2,2,3,2,3
4801e7ead14a4136a45528f3c1c76c7c,2,2,2,2,3
4874864711f14d7f8e8bbdd87e50b9d8,4,3,4,3,4
489cb7e0f04d4a61928a2334b2931142,2,2,3,2,4
4a57a64d2f0e4253b36cf51b26738287,2,1,2,1,4
4a8542ba33064ab39153849a52f0d734,2,1,2,1,4
4babf645cef24d818b19eba162433866,4,5,4,5,4
4d67689562b1408ba62cf2351cfef222,3,3,3,3,4
4dc620726deb4933a158b538e274eb70,1,4,1,2,4
4e2cd63bd64d467ebffe08dd775a889e,4,4,4,2,5
51e237f665aa4b7b8f1b19bb694509d9,4,4,4,4,5
52cfe3d856584c8d9a83f1d6ffe56c88,5,4,5,3,2
5334f669a08a434baddf73d4029b2cac,1,1,1,1,4
57eaa64aea3142bfa71b994b30601b03,3,2,3,3,4
585e5bac9de24893b70a6ddd93a8627c,2,1,3,1,4
5a0f6e9d36f44115a5a9531d1120ffc4,4,2,4,3,5
5ac56da6cb364d17ac202b2972e44693,3,5,3,4,4
5afa800a8a6a435c90feed7807c8bfe7,3,4,3,3,4
5d6dd8e23ef54ebe834ea8a107381d57,1,3,1,5,4
5de113d436c14f1dacfa0be27ac465ef,4,5,4,4,5
6037e215470d42c4a2be16ec5e29f8ae,4,4,4,5,6
604cc8d5a5034b9d962853c9f62915ce,5,4,5,4,2
64041dc84b7a42f5b8e5af789abb5f6e,4,4,4,4,6
657a67d709f74371b371f831801bb5ca,2,2,3,2,5
660a6a01b2ad40e1a70979c57b1c8fa7,3,5,3,4,5
6722e31c25a641b5a3ecef275919ce49,2,3,3,2,5
6b6b29f2bf614a48b23528498202eb2b,2,2,3,2,5
6c3d08d10d6f42dc8080aca74b2235e0,5,4,3,4,3
6cf50186f6a04858802e462fac119960,4,5,4,3,6
6cf87eff0c5347419d1c899b592d2e62,4,3,4,3,6
6d7d3e22430a41eeaebd82108e1971f9,1,1,2,1,4
71f323bc85524b7598768d3343381e6c,4,4,4,4,7
7227eeccfd154214bb600793b9064fff,5,5,5,5,4
745cc35d0c7744a2972603858a059cfd,1,1,1,1,4
75a1c0a68f434b49a0ced51abd8fd12e,2,2,3,2,5
76cecbfcddaf409fbabfb8b7300b236f,1,1,1,1,4
76fdd1cc045c4260acf0f555762b524d,4,4,4,4,7
79a0248353814397b35e572b5c5d1a0b,1,1,2,1,5
7b26e823b4ee446c8ed1c715b91c3d20,3,1,1,1,5
7d5aa659c9a947babae3e23bebb72072,1,1,1,1,5
823c4b22719840098df3a28675f93517,1,1,2,1,5
83923eb35f094f068f06565680f67499,2,3,3,3,6
84ff4fcce59a42ca8d1d61140dee13c0,1,1,2,1,5
850e2e6846a94b66b6f73c6de72af7e6,1,1,2,1,5
85f01deedf1d4eaa93845f393f4aceca,3,2,3,3,5
867a464b3bbf49939bcfc34c762e7f23,1,1,1,1,5
89e023636bd848dda575ee1b4df9d6f2,1,2,1,3,6
8b15df395fc34d4e89462ed26edb6fbd,2,3,3,1,6
8b5bbe8aa1be45a7bf39b70ef2692582,4,4,5,2,7
8c62744ee3a8455bb6fc0d3577303fc5,1,1,1,1,6
8e261da419fe4dcc82e006c86bc85eac,2,3,3,4,6
8e38a539ff33478aa4305c418b65d36f,1,1,1,1,6
8eecaab97b2e4fe498cdbf90ce2c1190,3,4,3,4,5
8fe5f0584e154f5b98c8cece97866fb6,2,1,2,1,6
9003aa94fed246efa83938bfde35ccc4,1,1,1,3,6
92063d81cefd4d83be16b759f82f819d,5,5,5,3,5
92a4f6733c5141c4a7875f6c50548c9d,1,1,1,1,6
9335d851f9854ba4bbecd03a1ac33feb,3,2,3,4,5
9375d8d8be344cd1a40924648b5ef6ee,2,1,3,1,7
941052229d0442d199f195072df2a015,4,4,4,4,8
964a102b938042d79d158c3c343399ee,2,2,3,1,7
99225c9f354b4a94a83e1cd621f2baf0,1,3,1,1,6
995f8dfc77244857a6590b2e4175f6f8,1,3,4,4,7
9963cc46f496449faa7596f15476b4d0,3,1,3,1,6
9af242a27a104c009c9ecb3112749cf9,4,3,4,3,8
9b05e6f611304bbfb65e3c8b41c0b783,2,5,3,3,7
9e8deeb47a9e404f9d9c9b452eabba41,2,1,2,1,7
a1bf9c33b79c4f758180aa026c43c35b,3,4,3,3,6
a1e04cfae2024da9a41f126ad03a1497,3,3,3,3,6
a25206a43bf94171a995ac8d32eb8295,3,4,3,2,6
a2de37559a3b446187ccead3046b0240,2,5,2,4,8
a39ae3ab03324a4fa8a3f7ac11c8a9ee,1,1,2,1,7
a4227f2f8d4e4156bc6510e50eedcdff,2,4,3,4,8
a4b12f8b1d9a49c89cef2a4f601e0760,3,4,4,5,6
a4f7c36970a74b7ba5d17db0cd4e0e97,3,4,3,2,7
a535345e179d4c33bb24416cbcdf1d9a,1,1,1,1,7
a5ebd66b8a734ac3a6f8bb74cda09eb5,3,2,3,1,7
abd3902de3234f7ab3d25af22be63833,3,3,3,1,7
add11f124def47039677a597ca717f2e,5,2,5,1,6
ae32e1131b6e47778351c41a4c01b830,1,1,1,1,7
afcff9dad3014c4b8df27092972cf861,3,4,3,4,7
b28f3e1644d94a849385c43481969c71,1,1,1,1,7
b3a532d80ac24a4f8bd54918583a073f,2,3,3,4,8
b67085bc9dc14ee18e745ae061d654f2,5,4,5,3,7
b8dce7147862468eb5d50e8924aafa9c,3,4,3,4,8
b9d58c89672a4e0abe7237b2a5d610a9,3,3,4,4,8
baaeb16197eb424dbe79abb7a9c57e37,4,4,4,4,8
bab5e3403b954af1b449a16b402fc8f4,3,3,3,3,8
bb17898cfa63494f91803e03ce78ed72,3,4,4,5,8
bd20c7482005497c9b93e6960759f99e,2,4,3,1,8
be9eae04b9174c28ae49c8db8eb4bccd,3,4,3,3,9
bf4ebc992dde409b87e58f6ce7f3867f,3,5,3,4,9
bf8d299963af41b4ae65af1a1a5bb2eb,1,1,1,1,7
c1b541f1daf24924a5d246cb15ec6471,1,1,1,1,8
c54c6285b54741b2830126573b24adbe,2,1,3,2,9
c621d361936849aa9e122aa6a494940c,1,1,1,1,8
c6880468c96f4f91a425a01a26bfe688,2,2,2,2,9
c8310c89ce6247369ee52acea969d166,1,2,1,3,8
c83de58609ca4f1184a90400bf06bc6d,1,2,3,1,8
c87a0ae2db1f4188a20968414d0e8369,1,1,1,1,8
c9a169e9149949099a460cb905ba74fa,1,1,1,1,8
ca2658a72b4341df900847de0f9fb33d,2,2,3,3,9
cc58c6930e184d349a57376c31e09ece,2,2,3,3,9
d1cbf14f6c5a4be1a3b8e0364a862967,1,2,2,1,9
d2ab3b8f36534f81a32462bc2771a1a9,2,3,2,3,10
d3e67a1d4d02402dad442e83822a5bc0,2,2,2,1,10
d8f61da8af6d4bfa99acd31b359f9817,3,4,4,1,9
dba2327e17b045c0b782842266dfc8ba,1,1,2,1,9
e294cf310c694bb9bf76ae56191dffda,2,1,2,1,10
e5bf7dc7f08c4db9b2f8eec184918820,3,4,3,4,9
e79a4e1f1fba437cb159f99aed333a20,4,3,4,3,9
ebb4b9a25d13419a987b779ffa51c017,1,1,2,1,9
ed4ee6fed1714ba69c932b0488de782f,1,1,1,1,9
edd5bfe91ee04111b9a14ab83c032d70,1,1,1,1,9
eddeea377ebd455da48aa0d9971a3301,3,4,3,4,10
ef00906c953d4176b4c310f7b965ac52,4,1,4,1,9
ef0cd19bd3b44582a6a649e47b25deca,1,1,2,1,9
ef1ed339cbd44182b982ff7a712b88f8,1,2,3,2,10
f1c28c6314d348cd802f02457c1ca716,3,4,4,3,10
f298a34d049847a38af81d689980ab4a,5,3,4,3,8
f3bf839bc08c41b6b8e3955126ab6740,1,1,3,1,10
f4b95f001bd94b7b9f6cd46ad11fd287,5,5,5,4,9
f62d99890d124e04a77827a3ef81264d,4,4,4,2,9
f6452d300fea440aa4580c377d87f772,4,3,4,3,10
f7058dd475e944b6bf409c188e0ba636,1,1,1,1,10
f714c868bb13448584dbf34edbbc2044,3,3,3,2,10
f71e86041a3e49d6b0aa4bf323798086,1,1,1,1,10
f72271d30e3940438c80594797fd0cfa,2,2,3,2,10
f7de3167dab943009b915744698d9b72,5,5,5,4,10
f88f20bc766b4f05934578790fa391f7,4,4,4,4,10
fa5244ea88e44dcc8060e28f7113e1c0,1,1,1,1,10
fb8e54dd76e341cdb380c82746b71777,3,4,3,4,10
ffd00c06bc52497e8424323a42386dc1,4,3,3,3,10
